Line Number,Number of Tokens,Language,Model
230,105,en,google/gemma-2-9b-it
231,126,en,google/gemma-2-9b-it
232,82,en,google/gemma-2-9b-it
233,178,en,google/gemma-2-9b-it
234,86,en,google/gemma-2-9b-it
235,71,en,google/gemma-2-9b-it
236,169,en,google/gemma-2-9b-it
237,121,en,google/gemma-2-9b-it
238,70,en,google/gemma-2-9b-it
239,168,en,google/gemma-2-9b-it
240,65,en,google/gemma-2-9b-it
241,138,en,google/gemma-2-9b-it
242,182,en,google/gemma-2-9b-it
243,252,en,google/gemma-2-9b-it
244,197,en,google/gemma-2-9b-it
245,98,en,google/gemma-2-9b-it
246,186,en,google/gemma-2-9b-it
247,107,en,google/gemma-2-9b-it
248,114,en,google/gemma-2-9b-it
249,70,en,google/gemma-2-9b-it
250,52,en,google/gemma-2-9b-it
251,109,en,google/gemma-2-9b-it
252,202,en,google/gemma-2-9b-it
253,164,en,google/gemma-2-9b-it
254,146,en,google/gemma-2-9b-it
255,120,en,google/gemma-2-9b-it
256,40,en,google/gemma-2-9b-it
257,111,en,google/gemma-2-9b-it
258,73,en,google/gemma-2-9b-it
259,75,en,google/gemma-2-9b-it
260,175,en,google/gemma-2-9b-it
261,122,en,google/gemma-2-9b-it
262,210,en,google/gemma-2-9b-it
263,213,en,google/gemma-2-9b-it
264,194,en,google/gemma-2-9b-it
265,93,en,google/gemma-2-9b-it
266,227,en,google/gemma-2-9b-it
267,75,en,google/gemma-2-9b-it
268,225,en,google/gemma-2-9b-it
269,99,en,google/gemma-2-9b-it
270,122,en,google/gemma-2-9b-it
271,124,en,google/gemma-2-9b-it
272,185,en,google/gemma-2-9b-it
273,82,en,google/gemma-2-9b-it
274,94,en,google/gemma-2-9b-it
275,83,en,google/gemma-2-9b-it
276,125,en,google/gemma-2-9b-it
277,126,en,google/gemma-2-9b-it
278,147,en,google/gemma-2-9b-it
279,85,en,google/gemma-2-9b-it
280,223,en,google/gemma-2-9b-it
281,149,en,google/gemma-2-9b-it
282,79,en,google/gemma-2-9b-it
283,181,en,google/gemma-2-9b-it
284,203,en,google/gemma-2-9b-it
285,71,en,google/gemma-2-9b-it
286,36,en,google/gemma-2-9b-it
287,59,en,google/gemma-2-9b-it
288,178,en,google/gemma-2-9b-it
289,206,en,google/gemma-2-9b-it
290,48,en,google/gemma-2-9b-it
291,96,en,google/gemma-2-9b-it
292,111,en,google/gemma-2-9b-it
293,119,en,google/gemma-2-9b-it
294,123,en,google/gemma-2-9b-it
295,186,en,google/gemma-2-9b-it
296,132,en,google/gemma-2-9b-it
297,49,en,google/gemma-2-9b-it
298,73,en,google/gemma-2-9b-it
299,196,en,google/gemma-2-9b-it
300,82,en,google/gemma-2-9b-it
301,112,en,google/gemma-2-9b-it
302,128,en,google/gemma-2-9b-it
303,49,en,google/gemma-2-9b-it
304,117,en,google/gemma-2-9b-it
305,98,en,google/gemma-2-9b-it
306,70,en,google/gemma-2-9b-it
307,107,en,google/gemma-2-9b-it
308,169,en,google/gemma-2-9b-it
309,77,en,google/gemma-2-9b-it
310,64,en,google/gemma-2-9b-it
311,86,en,google/gemma-2-9b-it
312,420,en,google/gemma-2-9b-it
313,39,en,google/gemma-2-9b-it
314,134,en,google/gemma-2-9b-it
315,60,en,google/gemma-2-9b-it
316,89,en,google/gemma-2-9b-it
317,192,en,google/gemma-2-9b-it
318,66,en,google/gemma-2-9b-it
319,105,en,google/gemma-2-9b-it
320,129,en,google/gemma-2-9b-it
321,67,en,google/gemma-2-9b-it
322,97,en,google/gemma-2-9b-it
323,157,en,google/gemma-2-9b-it
324,73,en,google/gemma-2-9b-it
325,114,en,google/gemma-2-9b-it
326,107,en,google/gemma-2-9b-it
327,126,en,google/gemma-2-9b-it
328,112,en,google/gemma-2-9b-it
329,87,en,google/gemma-2-9b-it
330,107,en,google/gemma-2-9b-it
331,62,en,google/gemma-2-9b-it
332,117,en,google/gemma-2-9b-it
333,150,en,google/gemma-2-9b-it
334,91,en,google/gemma-2-9b-it
335,146,en,google/gemma-2-9b-it
336,113,en,google/gemma-2-9b-it
337,112,en,google/gemma-2-9b-it
338,105,en,google/gemma-2-9b-it
339,90,en,google/gemma-2-9b-it
340,165,en,google/gemma-2-9b-it
341,182,en,google/gemma-2-9b-it
342,102,en,google/gemma-2-9b-it
343,72,en,google/gemma-2-9b-it
344,62,en,google/gemma-2-9b-it
345,66,en,google/gemma-2-9b-it
346,150,en,google/gemma-2-9b-it
347,91,en,google/gemma-2-9b-it
348,216,en,google/gemma-2-9b-it
349,102,en,google/gemma-2-9b-it
350,115,en,google/gemma-2-9b-it
351,107,en,google/gemma-2-9b-it
352,71,en,google/gemma-2-9b-it
353,60,en,google/gemma-2-9b-it
354,111,en,google/gemma-2-9b-it
355,121,en,google/gemma-2-9b-it
356,105,en,google/gemma-2-9b-it
357,70,en,google/gemma-2-9b-it
358,115,en,google/gemma-2-9b-it
359,83,en,google/gemma-2-9b-it
360,163,en,google/gemma-2-9b-it
361,149,en,google/gemma-2-9b-it
362,112,en,google/gemma-2-9b-it
363,113,en,google/gemma-2-9b-it
364,106,en,google/gemma-2-9b-it
365,82,en,google/gemma-2-9b-it
366,78,en,google/gemma-2-9b-it
367,77,en,google/gemma-2-9b-it
368,82,en,google/gemma-2-9b-it
369,142,en,google/gemma-2-9b-it
370,126,en,google/gemma-2-9b-it
371,179,en,google/gemma-2-9b-it
372,108,en,google/gemma-2-9b-it
373,154,en,google/gemma-2-9b-it
374,144,en,google/gemma-2-9b-it
375,77,en,google/gemma-2-9b-it
376,157,en,google/gemma-2-9b-it
377,83,en,google/gemma-2-9b-it
378,50,en,google/gemma-2-9b-it
379,150,en,google/gemma-2-9b-it
380,170,en,google/gemma-2-9b-it
381,212,en,google/gemma-2-9b-it
382,168,en,google/gemma-2-9b-it
383,171,en,google/gemma-2-9b-it
384,205,en,google/gemma-2-9b-it
385,227,en,google/gemma-2-9b-it
386,143,en,google/gemma-2-9b-it
387,171,en,google/gemma-2-9b-it
388,165,en,google/gemma-2-9b-it
389,77,en,google/gemma-2-9b-it
390,127,en,google/gemma-2-9b-it
391,96,en,google/gemma-2-9b-it
392,237,en,google/gemma-2-9b-it
393,129,en,google/gemma-2-9b-it
394,181,en,google/gemma-2-9b-it
395,55,en,google/gemma-2-9b-it
396,121,en,google/gemma-2-9b-it
397,142,en,google/gemma-2-9b-it
398,149,en,google/gemma-2-9b-it
399,271,en,google/gemma-2-9b-it
400,165,en,google/gemma-2-9b-it
401,136,en,google/gemma-2-9b-it
402,152,en,google/gemma-2-9b-it
403,126,en,google/gemma-2-9b-it
404,140,en,google/gemma-2-9b-it
405,124,en,google/gemma-2-9b-it
406,68,en,google/gemma-2-9b-it
407,203,en,google/gemma-2-9b-it
408,92,en,google/gemma-2-9b-it
409,116,en,google/gemma-2-9b-it
410,63,en,google/gemma-2-9b-it
411,157,en,google/gemma-2-9b-it
412,59,en,google/gemma-2-9b-it
413,108,en,google/gemma-2-9b-it
414,97,en,google/gemma-2-9b-it
415,202,en,google/gemma-2-9b-it
416,106,en,google/gemma-2-9b-it
417,88,en,google/gemma-2-9b-it
418,132,en,google/gemma-2-9b-it
419,187,en,google/gemma-2-9b-it
420,204,en,google/gemma-2-9b-it
421,88,en,google/gemma-2-9b-it
422,144,en,google/gemma-2-9b-it
423,145,en,google/gemma-2-9b-it
424,85,en,google/gemma-2-9b-it
425,173,en,google/gemma-2-9b-it
426,89,en,google/gemma-2-9b-it
427,131,en,google/gemma-2-9b-it
428,153,en,google/gemma-2-9b-it
429,152,en,google/gemma-2-9b-it
430,185,en,google/gemma-2-9b-it
431,62,en,google/gemma-2-9b-it
432,182,en,google/gemma-2-9b-it
433,127,en,google/gemma-2-9b-it
434,109,en,google/gemma-2-9b-it
435,113,en,google/gemma-2-9b-it
436,217,en,google/gemma-2-9b-it
437,116,en,google/gemma-2-9b-it
438,80,en,google/gemma-2-9b-it
439,58,en,google/gemma-2-9b-it
440,70,en,google/gemma-2-9b-it
441,125,en,google/gemma-2-9b-it
442,158,en,google/gemma-2-9b-it
443,180,en,google/gemma-2-9b-it
444,172,en,google/gemma-2-9b-it
445,218,en,google/gemma-2-9b-it
446,57,en,google/gemma-2-9b-it
447,98,en,google/gemma-2-9b-it
448,146,en,google/gemma-2-9b-it
449,72,en,google/gemma-2-9b-it
450,127,en,google/gemma-2-9b-it
451,57,en,google/gemma-2-9b-it
452,99,en,google/gemma-2-9b-it
453,86,en,google/gemma-2-9b-it
454,94,en,google/gemma-2-9b-it
455,108,en,google/gemma-2-9b-it
456,183,en,google/gemma-2-9b-it
457,69,en,google/gemma-2-9b-it
458,83,en,google/gemma-2-9b-it
459,61,en,google/gemma-2-9b-it
460,127,en,google/gemma-2-9b-it
461,89,en,google/gemma-2-9b-it
462,75,en,google/gemma-2-9b-it
463,52,en,google/gemma-2-9b-it
464,131,en,google/gemma-2-9b-it
465,53,en,google/gemma-2-9b-it
466,76,en,google/gemma-2-9b-it
467,63,en,google/gemma-2-9b-it
468,73,en,google/gemma-2-9b-it
469,60,en,google/gemma-2-9b-it
470,129,en,google/gemma-2-9b-it
471,154,en,google/gemma-2-9b-it
472,89,en,google/gemma-2-9b-it
473,56,en,google/gemma-2-9b-it
474,101,en,google/gemma-2-9b-it
475,113,en,google/gemma-2-9b-it
476,156,en,google/gemma-2-9b-it
477,121,en,google/gemma-2-9b-it
478,145,en,google/gemma-2-9b-it
479,93,en,google/gemma-2-9b-it
480,74,en,google/gemma-2-9b-it
481,95,en,google/gemma-2-9b-it
482,169,en,google/gemma-2-9b-it
483,123,en,google/gemma-2-9b-it
484,133,en,google/gemma-2-9b-it
485,109,en,google/gemma-2-9b-it
486,85,en,google/gemma-2-9b-it
487,240,en,google/gemma-2-9b-it
488,68,en,google/gemma-2-9b-it
489,91,en,google/gemma-2-9b-it
490,139,en,google/gemma-2-9b-it
491,132,en,google/gemma-2-9b-it
492,119,en,google/gemma-2-9b-it
493,51,en,google/gemma-2-9b-it
494,44,en,google/gemma-2-9b-it
495,41,en,google/gemma-2-9b-it
496,113,en,google/gemma-2-9b-it
497,134,en,google/gemma-2-9b-it
498,158,en,google/gemma-2-9b-it
499,110,en,google/gemma-2-9b-it
500,107,en,google/gemma-2-9b-it
501,71,en,google/gemma-2-9b-it
502,220,en,google/gemma-2-9b-it
503,65,en,google/gemma-2-9b-it
504,175,en,google/gemma-2-9b-it
505,134,en,google/gemma-2-9b-it
506,137,en,google/gemma-2-9b-it
507,112,en,google/gemma-2-9b-it
508,185,en,google/gemma-2-9b-it
509,73,en,google/gemma-2-9b-it
510,49,en,google/gemma-2-9b-it
511,105,en,google/gemma-2-9b-it
512,84,en,google/gemma-2-9b-it
513,130,en,google/gemma-2-9b-it
514,133,en,google/gemma-2-9b-it
515,180,en,google/gemma-2-9b-it
516,160,en,google/gemma-2-9b-it
517,86,en,google/gemma-2-9b-it
518,51,en,google/gemma-2-9b-it
519,49,en,google/gemma-2-9b-it
520,144,en,google/gemma-2-9b-it
521,99,en,google/gemma-2-9b-it
522,95,en,google/gemma-2-9b-it
523,91,en,google/gemma-2-9b-it
524,183,en,google/gemma-2-9b-it
525,161,en,google/gemma-2-9b-it
526,134,en,google/gemma-2-9b-it
527,114,en,google/gemma-2-9b-it
528,81,en,google/gemma-2-9b-it
529,119,en,google/gemma-2-9b-it
530,54,en,google/gemma-2-9b-it
531,118,en,google/gemma-2-9b-it
532,100,en,google/gemma-2-9b-it
533,141,en,google/gemma-2-9b-it
534,65,en,google/gemma-2-9b-it
535,94,en,google/gemma-2-9b-it
536,144,en,google/gemma-2-9b-it
537,84,en,google/gemma-2-9b-it
538,93,en,google/gemma-2-9b-it
539,181,en,google/gemma-2-9b-it
540,148,en,google/gemma-2-9b-it
541,64,en,google/gemma-2-9b-it
542,207,en,google/gemma-2-9b-it
543,125,en,google/gemma-2-9b-it
544,215,en,google/gemma-2-9b-it
545,146,en,google/gemma-2-9b-it
546,149,en,google/gemma-2-9b-it
547,134,en,google/gemma-2-9b-it
548,217,en,google/gemma-2-9b-it
549,133,en,google/gemma-2-9b-it
550,169,en,google/gemma-2-9b-it
551,45,en,google/gemma-2-9b-it
552,146,en,google/gemma-2-9b-it
553,136,en,google/gemma-2-9b-it
554,177,en,google/gemma-2-9b-it
555,292,en,google/gemma-2-9b-it
556,190,en,google/gemma-2-9b-it
557,158,en,google/gemma-2-9b-it
558,185,en,google/gemma-2-9b-it
559,123,en,google/gemma-2-9b-it
560,118,en,google/gemma-2-9b-it
561,171,en,google/gemma-2-9b-it
562,116,en,google/gemma-2-9b-it
563,104,en,google/gemma-2-9b-it
564,139,en,google/gemma-2-9b-it
565,78,en,google/gemma-2-9b-it
566,97,en,google/gemma-2-9b-it
567,171,en,google/gemma-2-9b-it
568,71,en,google/gemma-2-9b-it
569,169,en,google/gemma-2-9b-it
570,117,en,google/gemma-2-9b-it
571,52,en,google/gemma-2-9b-it
572,253,en,google/gemma-2-9b-it
573,64,en,google/gemma-2-9b-it
574,118,en,google/gemma-2-9b-it
575,186,en,google/gemma-2-9b-it
576,149,en,google/gemma-2-9b-it
577,106,en,google/gemma-2-9b-it
578,123,en,google/gemma-2-9b-it
579,80,en,google/gemma-2-9b-it
580,145,en,google/gemma-2-9b-it
581,248,en,google/gemma-2-9b-it
582,108,en,google/gemma-2-9b-it
583,104,en,google/gemma-2-9b-it
584,161,en,google/gemma-2-9b-it
585,200,en,google/gemma-2-9b-it
586,72,en,google/gemma-2-9b-it
587,73,en,google/gemma-2-9b-it
588,149,en,google/gemma-2-9b-it
589,91,en,google/gemma-2-9b-it
590,84,en,google/gemma-2-9b-it
591,202,en,google/gemma-2-9b-it
592,60,en,google/gemma-2-9b-it
593,79,en,google/gemma-2-9b-it
594,80,en,google/gemma-2-9b-it
595,131,en,google/gemma-2-9b-it
596,51,en,google/gemma-2-9b-it
597,210,en,google/gemma-2-9b-it
598,62,en,google/gemma-2-9b-it
599,91,en,google/gemma-2-9b-it
600,112,en,google/gemma-2-9b-it
601,49,en,google/gemma-2-9b-it
602,56,en,google/gemma-2-9b-it
603,133,en,google/gemma-2-9b-it
604,74,en,google/gemma-2-9b-it
605,176,en,google/gemma-2-9b-it
606,91,en,google/gemma-2-9b-it
607,163,en,google/gemma-2-9b-it
608,216,en,google/gemma-2-9b-it
609,198,en,google/gemma-2-9b-it
610,81,en,google/gemma-2-9b-it
611,60,en,google/gemma-2-9b-it
612,94,en,google/gemma-2-9b-it
613,140,en,google/gemma-2-9b-it
614,82,en,google/gemma-2-9b-it
615,186,en,google/gemma-2-9b-it
616,214,en,google/gemma-2-9b-it
617,148,en,google/gemma-2-9b-it
618,70,en,google/gemma-2-9b-it
619,117,en,google/gemma-2-9b-it
620,71,en,google/gemma-2-9b-it
621,75,en,google/gemma-2-9b-it
622,181,en,google/gemma-2-9b-it
623,140,en,google/gemma-2-9b-it
624,177,en,google/gemma-2-9b-it
625,161,en,google/gemma-2-9b-it
626,119,en,google/gemma-2-9b-it
627,155,en,google/gemma-2-9b-it
628,87,en,google/gemma-2-9b-it
629,76,en,google/gemma-2-9b-it
630,215,en,google/gemma-2-9b-it
631,63,en,google/gemma-2-9b-it
632,81,en,google/gemma-2-9b-it
633,84,en,google/gemma-2-9b-it
634,98,en,google/gemma-2-9b-it
635,150,en,google/gemma-2-9b-it
636,143,en,google/gemma-2-9b-it
637,48,en,google/gemma-2-9b-it
638,126,en,google/gemma-2-9b-it
639,105,en,google/gemma-2-9b-it
640,179,en,google/gemma-2-9b-it
641,82,en,google/gemma-2-9b-it
642,87,en,google/gemma-2-9b-it
643,109,en,google/gemma-2-9b-it
644,130,en,google/gemma-2-9b-it
645,114,en,google/gemma-2-9b-it
646,81,en,google/gemma-2-9b-it
647,80,en,google/gemma-2-9b-it
648,93,en,google/gemma-2-9b-it
649,106,en,google/gemma-2-9b-it
650,153,en,google/gemma-2-9b-it
651,101,en,google/gemma-2-9b-it
652,164,en,google/gemma-2-9b-it
653,281,en,google/gemma-2-9b-it
654,128,en,google/gemma-2-9b-it
655,179,en,google/gemma-2-9b-it
656,166,en,google/gemma-2-9b-it
657,122,en,google/gemma-2-9b-it
658,27,en,google/gemma-2-9b-it
659,240,en,google/gemma-2-9b-it
660,64,en,google/gemma-2-9b-it
661,249,en,google/gemma-2-9b-it
662,55,en,google/gemma-2-9b-it
663,176,en,google/gemma-2-9b-it
664,173,en,google/gemma-2-9b-it
665,105,en,google/gemma-2-9b-it
666,114,en,google/gemma-2-9b-it
667,126,en,google/gemma-2-9b-it
668,95,en,google/gemma-2-9b-it
669,69,en,google/gemma-2-9b-it
670,61,en,google/gemma-2-9b-it
671,201,en,google/gemma-2-9b-it
672,291,en,google/gemma-2-9b-it
673,140,en,google/gemma-2-9b-it
674,127,en,google/gemma-2-9b-it
675,98,en,google/gemma-2-9b-it
676,116,en,google/gemma-2-9b-it
677,118,en,google/gemma-2-9b-it
678,102,en,google/gemma-2-9b-it
679,99,en,google/gemma-2-9b-it
680,56,en,google/gemma-2-9b-it
681,220,en,google/gemma-2-9b-it
682,103,en,google/gemma-2-9b-it
683,106,en,google/gemma-2-9b-it
684,281,en,google/gemma-2-9b-it
685,155,en,google/gemma-2-9b-it
686,193,en,google/gemma-2-9b-it
687,143,en,google/gemma-2-9b-it
688,203,en,google/gemma-2-9b-it
689,93,en,google/gemma-2-9b-it
690,197,en,google/gemma-2-9b-it
691,65,en,google/gemma-2-9b-it
692,104,en,google/gemma-2-9b-it
693,166,en,google/gemma-2-9b-it
694,157,en,google/gemma-2-9b-it
695,146,en,google/gemma-2-9b-it
696,70,en,google/gemma-2-9b-it
697,90,en,google/gemma-2-9b-it
698,108,en,google/gemma-2-9b-it
699,131,en,google/gemma-2-9b-it
700,104,en,google/gemma-2-9b-it
701,69,en,google/gemma-2-9b-it
702,158,en,google/gemma-2-9b-it
703,243,en,google/gemma-2-9b-it
704,124,en,google/gemma-2-9b-it
705,87,en,google/gemma-2-9b-it
706,57,en,google/gemma-2-9b-it
707,188,en,google/gemma-2-9b-it
708,169,en,google/gemma-2-9b-it
709,91,en,google/gemma-2-9b-it
710,162,en,google/gemma-2-9b-it
711,229,en,google/gemma-2-9b-it
712,57,en,google/gemma-2-9b-it
713,105,en,google/gemma-2-9b-it
714,148,en,google/gemma-2-9b-it
715,73,en,google/gemma-2-9b-it
716,115,en,google/gemma-2-9b-it
717,155,en,google/gemma-2-9b-it
718,52,en,google/gemma-2-9b-it
719,94,en,google/gemma-2-9b-it
720,101,en,google/gemma-2-9b-it
721,94,en,google/gemma-2-9b-it
722,119,en,google/gemma-2-9b-it
723,90,en,google/gemma-2-9b-it
724,73,en,google/gemma-2-9b-it
725,134,en,google/gemma-2-9b-it
726,90,en,google/gemma-2-9b-it
727,97,en,google/gemma-2-9b-it
728,95,en,google/gemma-2-9b-it
729,172,en,google/gemma-2-9b-it
730,140,en,google/gemma-2-9b-it
731,87,en,google/gemma-2-9b-it
732,165,en,google/gemma-2-9b-it
733,87,en,google/gemma-2-9b-it
734,247,en,google/gemma-2-9b-it
